seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
110, No Interference, 15, 0.056666666666666664, 0.8533333333333334, 14.769882648132374, 20.265587937251265
110, 3, 15, 0.05, 0.9433333333333334, 21.095454222946614, 20.889779182339534
110, 5, 15, 0.03, 0.9533333333333334, 22.720089455507818, 21.10283378165246
110, 12, 15, 0.023333333333333334, 0.9766666666666667, 22.839016663398684, 21.154170184617648
110, 20, 15, 0.03333333333333333, 0.96, 21.259295508652226, 21.010869794158843
110, 30, 15, 0.04, 0.96, 20.30788733879938, 21.136445444935596
666, No Interference, 15, 0.04, 0.88, 15.173693493950276, 20.425482130982616
666, 3, 15, 0.03333333333333333, 0.9566666666666667, 21.73605420965512, 21.044400063626767
666, 5, 15, 0.043333333333333335, 0.9466666666666667, 22.324492283402346, 21.12238271324674
666, 12, 15, 0.013333333333333334, 0.9833333333333333, 23.02431824491806, 21.1962069471474
666, 20, 15, 0.043333333333333335, 0.9533333333333334, 21.24997198274216, 21.15658665695734
666, 30, 15, 0.06666666666666667, 0.9333333333333333, 20.058335501366894, 21.032998824541902
72, No Interference, 15, 0.06666666666666667, 0.8633333333333333, 14.912509071909895, 20.463805026215763
72, 3, 15, 0.06666666666666667, 0.9333333333333333, 21.017313657055716, 20.972973449521152
72, 5, 15, 0.03, 0.9633333333333334, 22.22475348160983, 21.09103178846233
72, 12, 15, 0.03666666666666667, 0.96, 22.972738349006885, 21.235611175696366
72, 20, 15, 0.03, 0.9633333333333334, 20.871022528083007, 21.02876099055107
72, 30, 15, 0.03, 0.9666666666666667, 20.244142464795498, 21.106142047898743
80, No Interference, 15, 0.056666666666666664, 0.86, 14.963088947558989, 20.426837997287162
80, 3, 15, 0.03333333333333333, 0.9533333333333334, 21.399544780858655, 20.970676066368757
80, 5, 15, 0.03333333333333333, 0.9466666666666667, 22.439611121158755, 21.129915384834856
80, 12, 15, 0.02, 0.98, 23.06283098487619, 21.182969055015313
80, 20, 15, 0.043333333333333335, 0.9566666666666667, 20.679303177663545, 20.90818952590879
80, 30, 15, 0.06333333333333334, 0.9366666666666666, 20.419841887573018, 21.080510476373597
1067, No Interference, 15, 0.07333333333333333, 0.8633333333333333, 14.859721121874456, 20.410095008511256
1067, 3, 15, 0.04, 0.95, 21.319170058830842, 21.07478289146552
1067, 5, 15, 0.03, 0.9566666666666667, 22.564386511827948, 21.37158177000234
1067, 12, 15, 0.016666666666666666, 0.9833333333333333, 22.954780249726088, 21.24614710073986
1067, 20, 15, 0.04, 0.96, 21.199081132340023, 20.98853946224461
1067, 30, 15, 0.04, 0.96, 20.8199629287689, 21.088808716912254
1084, No Interference, 15, 0.06, 0.8666666666666667, 14.85398343229615, 20.41932939496665
1084, 3, 15, 0.04, 0.9533333333333334, 20.964436574453128, 20.972511667107963
1084, 5, 15, 0.03666666666666667, 0.9433333333333334, 22.53881823869014, 21.250039785486752
1084, 12, 15, 0.01, 0.98, 23.149763072475018, 21.185188773904184
1084, 20, 15, 0.06333333333333334, 0.9366666666666666, 21.58032026501588, 21.22603839084663
1084, 30, 15, 0.03666666666666667, 0.9566666666666667, 20.4496454686545, 21.102545639304694
115, No Interference, 15, 0.06333333333333334, 0.8833333333333333, 14.895225208861564, 20.484843789506375
115, 3, 15, 0.04, 0.96, 21.220111840023094, 21.029232938148997
115, 5, 15, 0.02, 0.9633333333333334, 22.217609805069607, 21.158156573363392
115, 12, 15, 0.016666666666666666, 0.98, 23.024791818878285, 21.33983508802473
115, 20, 15, 0.04, 0.9533333333333334, 21.082486975140643, 21.01206567192186
115, 30, 15, 0.023333333333333334, 0.9733333333333334, 20.487717951609888, 21.124755176832046
21, No Interference, 20, 0.07, 0.82, 14.492799954402706, 20.413805676114034
21, 3, 20, 0.07666666666666666, 0.92, 21.016802315904012, 20.94526025116856
